Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
au-acasun.uicnwlv.cn,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
facebook-security01-wabnode-com.webnode.page,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
au-acoen.gkeynmt.cn,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
6735aead375e45868d286789503b3958.svc.dynamics.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
bogdonovlerer.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
alialinedssc.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
webhostingserviceo70.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
recoverphrase489.web.app,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
monyeward.com,0,0,1,5,1,0,0,0,0,1,1,1,0,0,1,0,1
sites.google.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
spiksa.net,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
alinafischer.clickfunnels.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
clik.rip,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
fhbhawai.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,1
internet7.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
filixlightings.com,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
dpmasdaskj.pages.dev,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
southamerica-east1-my-project-90086352.cloudfunctions.net,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1
cerulean-military-meal.glitch.me,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1
esdrpost.co.vu,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1
dgvds.eie6902e.cn,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
sitebuilder158563.dynadot.com,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
irelandsissuesmagazine.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
miurausa.com,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
webhostingserviceo23.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
ftx777.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1000000000074558557412569836454.tk,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
dappnetsync.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
aqrdoi.7o5zy4px.cn,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
ajudacef.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
ahhhh.pe.kr,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
dgfoodsnet.myportfolio.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
c2dcw069.caspio.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
servicecommunitypagesprotection.co.vu,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
webhostingserviceo13.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
mecsoeosrei.rigpugi.cn,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
maseciscri.icu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
backend.bhiflyk40710.xyz,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
fixi.rest,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
verify-your-identity-pages2022.gq,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
botecodomanolo.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
maiaaiori.icu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
securebusinesspublishmentmothlybill.weebly.com,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1
sites.google.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
webhostingserviceo22.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
bavarianhaven52.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
backend.bhiflyk69965.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
docsharex-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
smarttv--magazineluiza.com,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
