Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
hubpages.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,0
tune.pk,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
sfglobe.com,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
couchtuner.eu.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
olx.in,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
venturebeat.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
tinnhanh360.net,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
motthegioi.vn,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
spankbang.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
thenextweb.com,0,0,1,7,0,0,0,0,1,1,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0
kakaku.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
